date,respiration_brpm,rest_heart_bpm,max_heart_bpm
2022-01-26,14,45,165
2022-01-27,13,46,102
2022-01-28,14,45,127
2022-01-29,13,44,104
2022-01-30,13,39,169
2022-01-31,13,43,115
2022-02-01,14,43,118
2022-02-02,13,46,166
2022-02-03,13,43,159
2022-02-04,14,50,168
2022-02-05,19,54,109
2022-02-06,15,47,103
2022-02-07,15,50,107
2022-02-08,15,54,109
2022-02-09,14,47,109
2022-02-10,14,44,111
2022-02-11,13,40,141
2022-02-12,14,42,129
2022-02-13,14,42,156
2022-02-14,14,45,112
2022-02-15,14,45,135
2022-02-16,13,46,106
2022-02-17,13,43,170
2022-02-18,13,45,132
2022-02-19,13,47,124
2022-02-20,14,45,97
2022-02-21,14,45,168
2022-02-22,14,44,109
2022-02-23,14,44,105
2022-02-24,14,44,166
2022-02-25,14,45,124
2022-02-26,15,42,103
2022-02-27,13,44,131
2022-02-28,13,42,108
2022-03-01,13,42,166
2022-03-02,13,45,118
2022-03-03,13,44,132
2022-03-04,13,42,115
2022-03-05,15,43,165
2022-03-06,13,41,119
2022-03-07,13,43,108
2022-03-08,13,43,161
2022-03-09,14,46,111
2022-03-10,14,42,121
2022-03-11,14,43,161
2022-03-12,13,40,120
2022-03-13,13,41,116
2022-03-14,13,41,107
2022-03-15,13,43,109
2022-03-16,14,48,132
2022-03-17,13,45,110
2022-03-18,14,45,106
2022-03-19,13,47,184
2022-03-20,13,45,98
2022-03-21,14,44,111
2022-03-22,13,43,174
2022-03-23,14,45,106
2022-03-24,13,46,108
2022-03-25,14,43,176
2022-03-26,13,42,107
2022-03-27,13,42,106
2022-03-28,13,43,103
2022-03-29,14,43,110
2022-03-30,14,43,112
2022-03-31,13,43,133
2022-04-01,13,44,104
2022-04-02,13,43,115
2022-04-03,13,43,118
2022-04-04,13,45,93
2022-04-05,13,43,157
2022-04-06,13,46,122
2022-04-07,13,46,110
2022-04-08,13,46,157
2022-04-09,13,45,107
2022-04-10,14,46,102
2022-04-11,13,43,168
2022-04-12,13,45,106
2022-04-13,13,44,102,
2022-04-14,14,44,123
2022-04-15,13,45,118
2022-04-16,13,43,110
2022-04-17,14,45,175
2022-04-18,13,43,109
2022-04-19,13,43,173
2022-04-20,13,44,114
2022-04-21,13,45,116
2022-04-22,13,45,117
2022-04-23,13,45,108
2022-04-24,14,42,117
2022-04-25,14,41,106
2022-04-26,13,40,108
2022-04-27,13,42,124
2022-04-28,13,43,99
2022-04-29,13,41,172
2022-04-30,13,46,97
2022-05-01,13,45,100
2022-05-02,13,44,169
2022-05-03,14,44,104
2022-05-04,14,43,175
2022-05-05,12,47,99
2022-05-06,13,42,175
2022-05-07,13,44,100
2022-05-08,14,42,109
2022-05-09,13,42,111
2022-05-10,13,44,103
2022-05-11,14,41,157
2022-05-12,14,46,102
2022-05-13,13,41,102
2022-05-14,13,41,179
2022-05-15,13,46,123
2022-05-16,13,44,117
2022-05-17,13,43,108
2022-05-18,14,42,176
2022-05-19,13,43,114
2022-05-20,13,42,127
2022-05-21,13,45,182
2022-05-22,13,43,123
2022-05-23,13,41,134
2022-05-24,13,41,113
2022-05-25,14,43,112
2022-05-26,13,
2022-05-27,14
2022-05-28,13
2022-05-29,14
2022-05-30,13
2022-05-31,13
2022-06-01,13
2022-06-02,14
2022-06-03,13
2022-06-04,13
2022-06-05,14
2022-06-06,13
2022-06-07,13
2022-06-08,13
2022-06-09,14
2022-06-10,13
2022-06-11,13
2022-06-12,13
2022-06-13,13
2022-06-14,13
2022-06-15,13
2022-06-16,13
2022-06-17,14
2022-06-18,14
2022-06-19,14
2022-06-20,14
2022-06-21,13
2022-06-22,14
2022-06-23,14
2022-06-24,13
2022-06-25,14
2022-06-26,20
2022-06-27,15
2022-06-28,14
2022-06-29,14
2022-06-30,14
2022-07-01,15
2022-07-02,14
2022-07-03,14
2022-07-04,13
2022-07-05,14
2022-07-06,13
2022-07-07,13
2022-07-08,13
2022-07-09,13
2022-07-10,13
2022-07-11,13
2022-07-12,14
2022-07-13,14
2022-07-14,14
2022-07-15,13
2022-07-16,14
2022-07-17,13
2022-07-18,13
2022-07-19,13
2022-07-20,13
2022-07-21,14
2022-07-22,13
2022-07-23,13
2022-07-24,13
2022-07-25,14
2022-07-26,13
2022-07-27,13
2022-07-28,13
2022-07-29,14
2022-07-30,13
2022-07-31,14
2022-08-01,13
2022-08-02,13
2022-08-03,13
2022-08-04,13
2022-08-05,14
2022-08-06,13
2022-08-07,14
2022-08-08,13
2022-08-09,14
2022-08-10,13
2022-08-11,14
2022-08-12,14
2022-08-13,14
2022-08-14,14
2022-08-15,14
2022-08-16,14
2022-08-17,13
2022-08-18,14
2022-08-19,13
2022-08-20,13
2022-08-21,14
2022-08-22,14
2022-08-23,14
2022-08-24,13
2022-08-25,13
2022-08-26,14
2022-08-27,13
2022-08-28,13
2022-08-29,14
2022-08-30,14
2022-08-31,14
2022-09-01,13
2022-09-02,13
2022-09-03,13
2022-09-04,13
2022-09-05,14
2022-09-06,14
2022-09-07,13
2022-09-08,14
2022-09-09,14
2022-09-10,13
2022-09-11,14
2022-09-12,13
2022-09-13,13
2022-09-14,13
2022-09-15,14
2022-09-16,13
2022-09-17,13
2022-09-18,13
2022-09-19,13
2022-09-20,14
2022-09-21,14
2022-09-22,13
2022-09-23,14
2022-09-24,14
2022-09-25,13
2022-09-26,14
2022-09-27,14
2022-09-28,13
2022-09-29,14
2022-09-30,13
2022-10-01,15
2022-10-02,14
2022-10-03,14
2022-10-04,14
2022-10-05,13
2022-10-06,14
