date,distance,pace
# Garmin displayed km/h
# but Coros only shows min/km
# so we switched format
2024-10-22,6.5,6:06
2024-10-24,6.7,5:57
2024-10-30,4.06,6
2024-11-02,1.62,6:11
2024-11-04,6,5:54
2024-11-07,6,5:55
2024-11-12,6,6:05
2024-11-16,7.07,6:10
2024-11-18,5.75,6:11
2024-11-21,5.91,6:04
2024-11-23,7.03,5:58
2024-11-25,10.2,5:50
2024-11-28,6,5:39
2024-12-02,6,6:19
2024-12-04,5.35,5:38
2024-12-08,6.12,5:40
2024-12-17,4,5:53
2024-12-21,3.21,5:45
2024-12-24,3,6:03
2024-12-25,5.25,6
2024-12-27,5,5:52
2024-12-30,4.9,6:13
2025-01-02,5.23,5:47
2025-01-05,5.35,5:56
2025-01-07,5.3,5:24
2025-01-09,7.04,5:53
2025-01-14,5.05,5:52
2025-01-16,5,5:26
2025-01-21,3.91,5:37
2025-01-23,6.31,5:55
2025-01-27,8.52,5:48
2025-01-29,8.54,5:56
2025-02-02,7.05,5:50
2025-02-05,5.74,5:56
2025-02-11,8,6:20
2025-02-13,12.31,6:24
2025-02-15,7.7,7:15,running on bearfoot shoes at 1am
2025-02-16,14.6,6:24
2025-02-18,6.7,6:22,stopped due to cramp in calf
2025-02-20,10.73,6:24
